surface_tension,molecular_formula,density_liquid,enthalpy_vaporization,enthalpy_vaporization_boiling,thermal_expansion,C,Br,Cl,F,N,O,H,I,S,Si,Al,Ga,P,B,molecular_weight
17.38,C2Cl2F2,1.4343,24.485,24.433,0.0017593,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.924086326
10.98,C2Cl2F4,1.455,23.066,23.147,0.0021716,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.920892652
10.86,C2Cl2F4,1.4696,22.999,22.838,0.0022007,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.920892652
9.16,C2Cl2F4,1.4623,22.918,22.91,0.0024741,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.920892652
17.16,C2Cl3F3,1.564,27.151,27.215,0.0015078,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.37538948899999
15.62,C2Cl3F3,1.5657,26.947,27.224,0.0016319,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.37538948899999
31.65,C2Cl4,1.6156,34.016,34.344,0.00087892,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.83308
23.44,C2Cl4F2,1.6451,31.357,31.828,0.0011974,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.829886326
30.0,C2Cl4O,1.613,33.728,35.95,0.0010574,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.832485
19.32,C2HBrClF3,1.8583,27.37,28.593000000000004,0.00148,2.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.38103048899998
11.02,C2HClF2,1.217,21.04,22.03,0.0024825,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.479127326
10.19,C2HClF4,1.364,21.665,21.997,0.0025912,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.475933652
9.84,C2HClF4,1.364,21.645,22.107,0.00261,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.475933652
17.44,C2HCl2F3,1.475,26.079,24.863000000000003,0.0016584,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.93043048899997
16.1,C2HCl2F3,1.4444,25.299,25.74,0.001591,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.93043048899997
15.66,C2HCl2F3,1.475,25.296,25.639,0.0017747,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.93043048899997
28.73,C2HCl3,1.4556,30.812,31.624,0.0011359,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.388121
23.75,C2HCl3F2,1.5489,29.631,29.8,0.001268,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.384927326
23.75,C2HCl3F2,1.5587,29.631,29.75,0.0012763,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.384927326
23.22,C2HCl3F2,1.559,29.388,29.701,0.0012984,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.384927326
24.7,C2HCl3O,1.499,31.827,34.13,0.0011507,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.387526
