surface_tension,molecular_formula,density_liquid,enthalpy_fusion,enthalpy_vaporization,enthalpy_vaporization_boiling,thermal_expansion,VDW_area,VDW_volume,radius_gyration,dipole_moment,C,Br,Cl,O,F,H,N,I,Si,S,molecular_weight
23.86,C5H10O2,0.883,11.2,32.175,34.471,0.0012411,9140000000.0,63.0,3.969,"1.790 ",5.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,102.13192000000001
22.3,C5H10O2,0.871,8.88,30.981,32.228,0.001333,9130000000.0,62.99,3.679,"1.751 ",5.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,102.13192000000001
23.75,C5H10O2,0.884,12.3,31.94,33.455,0.0012611,9140000000.0,63.0,3.934,"1.752 ",5.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,102.13192000000001
24.58,C5H10O2,0.893,11.5,32.204,33.298,0.0012143,9140000000.0,63.0,3.972,"1.721 ",5.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,102.13192000000001
24.94,C5H11Cl,0.878,12.903,32.769,32.601,0.0012211,9320000000.0,66.21,3.995,"2.159 ",5.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,106.593951
28.92,C5H11N,0.858,14.854,32.599,33.551,0.0010878,7740000000.0,59.23,3.122,"1.190 ",5.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,85.14775399999999
15.47,C5H12,0.621,8.401,26.058,25.99,0.0016505,8290000000.0,58.03,3.337,"0.0 ",5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,72.14899199999999
14.45,C5H12,0.616,5.1560000000000015,25.297,24.793,0.0016911,8280000000.0,58.02,3.324,"0.13 ",5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,72.14899199999999
11.28,C5H12,0.586,3.096,23.609,22.744,0.0019244,8480000000.0,58.01,3.161,"0.0 ",5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,72.14899199999999
25.44,C5H12O,0.812,10.5,35.608,43.552,0.0010835,8980000000.0,62.63,3.679,"1.7 ",5.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,88.148397
23.58,C5H12O,0.805,8.48,33.808,39.805,0.001199,8970000000.0,62.62,3.619,"1.616 ",5.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,88.148397
29.37,C5H12O,0.818,9.08,33.43,30.041,0.0012063,8970000000.0,62.62,3.503,"1.64 ",5.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,88.148397
33.76,C5H12O,0.814,9.271,34.755,44.747,0.0011317,8970000000.0,62.62,3.612,"1.88 ",5.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,88.148397
23.78,C5H12O,0.812,6.61,34.944,45.775,0.0011249,8970000000.0,62.62,3.684,"1.7990000000000002 ",5.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,88.148397
30.2,C5H12O,0.814,5.747999999999998,33.147,43.205,0.0012163,8960000000.0,62.61,3.48,"1.817 ",5.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,88.148397
18.0,C5H12O,0.735,7.6,27.821,28.174,0.0014741,9080000000.0,61.71,3.179,"1.361 ",5.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,88.148397
19.28,C5H12O,0.724,8.39,28.622,35.522,0.0014478,8890000000.0,61.73,3.47,"1.16 ",5.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,88.148397
32.6,C5H12O2,0.906,11.4,36.74,41.96,0.0010378,9580000000.0,66.32,3.822,"2.1590000000000003 ",5.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,104.147802
46.32,C5H12O2,0.994,15.72,45.294,107.963,0.00077713,9670000000.0,67.23,4.03,"2.371 ",5.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,104.147802
26.02,C5H12S,0.838,17.53,34.489,35.178000000000004,0.0010811,9808000000.0,69.4,3.797,"1.511 ",5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,104.213792
24.68,C5H13N,0.751,17.6,32.204,34.963,0.0011482,9260000000.0,65.15,3.641,"1.55 ",5.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,87.163636
21.6,C6F6,1.606,11.59,30.324,31.689,0.001388,7860000000.0,63.24,4.706,"0.33 ",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,186.054858978
